"fit.data.JPM","fit.data.WFC","fit.data.C","fit.data.USB","XLF.close"
34.98,28.43,28.33,27.58,13.34
34.950001,28.559999,28.17,27.57,13.299999
35.68,29.02,28.51,27.98,13.479999
35.360001,28.940001,28.549999,27.75,13.399999
35.299999,29.299999,29.08,28.24,13.47
36.049999,29.41,30,28.26,13.71
36.66,29.620001,31.27,28.41,13.869999
36.849998,29.610001,31.6,28.74,13.919999
35.919998,29.610001,30.74,29.030001,13.819999
34.91,29.83,28.219999,28.77,13.71
36.540001,30.24,29.030001,29.08,13.919999
36.93,30.15,29.33,28.559999,14.05
37.360001,30.540001,29.639999,28.74,14.139999
37.66,30.92,29.85,28.49,14.189999
37.66,30.540001,29.9,28.450001,14.169999
37.599998,30.200001,29.959999,28.6,14.199999
37.490002,29.049999,30.379999,27.790001,14.08
37.209999,29.6,30.870001,27.860001,14.129999
37.009998,29.25,30.23,28.01,13.999999
37.299999,29.209999,30.719999,28.219999,14.06
37.599998,29.889999,31.6,28.559999,14.279999
37.549999,29.9,31.99,28.57,14.349999
38.279999,30.629999,33.540001,29.200001,14.739999
38.139999,30.200001,33.299999,29.16,14.67
37.869999,30.26,33.07,29.450001,14.659999
38.299999,30.629999,34.23,29.629999,14.77
37.860001,30.58,33.66,29.34,14.709999
37.610001,30.26,32.93,29.01,14.569999
38.299999,30.620001,32.880001,29.18,14.7
37.919998,30.42,32.080002,29,14.56
37.400002,30.17,31.719999,28.629999,14.469999
38,30.370001,32.709999,29.08,14.7
38.470001,31.09,32.919998,29.35,14.79
38.459999,30.959999,33.360001,29.120001,14.779999
38.07,30.59,32.360001,28.809999,14.589999
38.490002,30.65,32.709999,28.99,14.719999
38.279999,30.18,32.349998,28.73,14.67
39.060001,31.030001,32.93,29.299999,14.779999
39.209999,31.370001,33.48,29.17,14.82
39.240002,31.290001,33.32,29.4,14.759999
40.369999,31.540001,34.130001,29.709999,14.92
40.630001,31.280001,34.099998,29.27,14.869999
40.400002,30.969999,33.68,28.9,14.81
39.32,30.110001,32.119999,28.370001,14.45
39.950001,30.41,33.240002,28.639999,14.629999
40.439999,31.4,34,29.16,14.77
41.029999,31.66,34.200001,29.719999,14.89
40.540001,31.51,34.290001,29.68,14.849999
43.389999,33.330002,36.450001,31.01,15.42
43.580002,33.369999,35.209999,31.48,15.439999
44.700001,34.07,36.27,31.68,15.709999
44.57,33.889999,36.689999,31.65,15.719999
45,34.25,37.169998,31.85,15.799999
45.380001,34.32,38.080002,31.700001,15.88
45.119999,34.02,37.799999,31.540001,15.809999
44.650002,33.360001,36.900002,31.370001,15.6
45.16,33.529999,37.130001,31.700001,15.729999
46.169998,34.389999,37.43,32.110001,15.979999
45.889999,34,36.779999,31.690001,15.829999
46.27,34.470001,37.060001,31.82,15.869999
45.669998,33.939999,36.509998,31.549999,15.709999
45.98,34.139999,36.549999,31.68,15.799999
46.130001,34.509998,36.869999,31.709999,15.919999
45.419998,34.48,36.369999,31.59,15.829999
44.41,33.880001,35.040001,31.309999,15.579999
44.34,33.73,34.790001,31.35,15.54
43.889999,33.419998,33.970001,31.01,15.3
42.959999,32.919998,32.860001,30.34,14.969999
44.009998,33.619999,33.59,30.870001,15.209999
44.84,34.02,34.630001,31.34,15.489999
43.209999,32.84,33.41,30.9,15.129999
43.330002,33.150002,34,31.16,15.239999
43.900002,33.68,35.080002,31.549999,15.459999
43.290001,33.57,35.080002,31.299999,15.339999
43.220001,33.119999,34.849998,31.219999,15.27
42.720001,33,33.889999,31.290001,15.19
42.849998,32.689999,33.25,31.209999,15.079999
43.279999,33.07,33.419998,31.620001,15.249999
43.16,33.349998,33.68,31.68,15.38
43.799999,33.84,33.880001,32.099998,15.51
43.34,33.77,33.5,32.43,15.52
42.98,33.419998,33.040001,32.169998,15.43
43.790001,34.09,33.599998,32.290001,15.589999
43.200001,33.57,32.700001,32.040001,15.469999
43.009998,33.389999,32.48,31.940001,15.339999
41.75,33.029999,31.6,31.67,15.099999
41.779999,33.5,31.67,31.84,15.19
41.380001,33.150002,31.32,31.57,15.089999
40.639999,32.630001,30.450001,31.469999,14.92
40.740002,33.189999,30.65,31.91,14.979999
36.959999,33.310001,29.35,32.209999,14.81
35.790001,32.41,28.139999,31.559999,14.509999
36.240002,32.240002,27.790001,31.299999,14.43
35.459999,31.969999,26.92,31.059999,14.22
33.93,31.440001,26.41,30.65,13.93
33.490002,30.940001,26.01,30.27,13.769999
32.509998,31.4,26.25,30.719999,13.899999
34.009998,31.67,26.92,31,14.009999
34.259998,31.74,27.15,31.09,14.06
33.970001,31.809999,26.66,31.129999,14.069999
33.5,31.860001,26.469999,30.93,14.02
33.630001,32.25,27.02,31.209999,14.22
32.959999,31.700001,26,30.75,13.889999
33.150002,32.049999,26.51,31.110001,14.009999
31.93,30.16,25.389999,29.6,13.49
31,30.049999,24.82,28.790001,13.359999
31.99,30.52,25.75,29.219999,13.579999
33.07,30.969999,27.139999,29.700001,13.979998
32.810001,31.18,26.91,29.58,13.97
33.68,31.43,27.77,30.1,14.139999
32.82,30.99,26.48,29.870001,13.879999
33.77,31.299999,27.620001,30.629999,14.09
34.299999,31.58,27.67,30.559999,14.039999
34.650002,32.029999,27.91,31.01,14.21
35.029999,32.450001,28.309999,31.58,14.34
34.619999,32.459999,27.549999,31.52,14.259999
35.380001,32.959999,28.5,31.76,14.499999
36.450001,32.810001,28.860001,31.719999,14.529999
35.509998,32.34,27.83,31.23,14.21
35.990002,32.810001,27.99,31.719999,14.34
35.32,32.220001,26.75,31.16,14.039999
35.709999,32.330002,26.73,31.309999,14.109999
36.779999,32.73,27.1,31.43,14.279999
35.880001,32.48,26.389999,31.440001,14.27
35.73,33.439999,27.41,32.16,14.64
36.279999,33.549999,27.459999,32.439999,14.729999
35.880001,33.48,27.65,32.580002,14.81
34.380001,33.130001,26.84,32.290001,14.589999
33.900002,33.049999,26.360001,32.009998,14.469999
33.959999,33.259998,26.110001,32.029999,14.45
34.25,32.970001,25.879999,31.9,14.34
34.59,33.27,25.870001,32.279999,14.46
34.040001,32.849998,25.280001,32.009998,14.31
36.07,33.91,26.65,32.700001,14.709999
35.09,34.02,26.809999,32.779999,14.68
34.990002,34.119999,27.379999,32.950001,14.759999
34.959999,33.959999,27.1,33.48,14.689999
34.459999,34.150002,26.59,33.799999,14.599999
33.900002,33.810001,25.870001,33.599998,14.379999
34.439999,33.439999,25.34,33.419998,14.259999
34.73,33.23,25.24,33.470001,14.22
35.169998,33.16,25.790001,33.290001,14.27
35.810001,33.779999,26.280001,33.59,14.489999
36.889999,34.150002,27.299999,33.919998,14.759999
36.139999,33.959999,27.139999,33.75,14.729999
36,33.810001,27.129999,33.5,14.659999
36,33.900002,26.780001,33.32,14.589999
35.169998,33.34,26.18,32.900002,14.479999
36.09,34.34,27.4,33.490002,14.82
36.299999,34,28.559999,33.009998,14.879999
37.009998,33.959999,28.889999,33.09,14.939998
37.16,33.82,28.860001,33.02,14.939998
36.919998,33.82,28.860001,33.029999,14.93
36.970001,33.830002,28.9,33.16,14.939998
36.990002,33.959999,28.780001,33.18,14.949999
37.099998,33.959999,28.77,33.02,14.93
37.07,33.970001,28.74,33.169998,14.979999
37.099998,34.130001,28.82,33.209999,15.079999
36.98,34.029999,29.030001,33.110001,15.129999
37.369999,34.07,29.98,33.23,15.17
38.040001,34.380001,30.73,33.029999,15.219999
37.830002,34.18,30.49,32.900002,15.199999
37.23,33.919998,29.59,32.759998,15.05
37.169998,34.040001,29.83,33.029999,15.129999
37.23,34.02,29.690001,33.189999,15.119999
37.130001,34.099998,29.34,33.310001,15.099999
37.299999,34.07,29.91,33.5,15.129999
36.900002,33.869999,29.65,33.290001,15.05
37.139999,34.029999,29.709999,33.41,15.159999
37.009998,33.799999,29.700001,33.119999,15.159999
37.110001,33.75,29.77,33.080002,15.159999
38.689999,34.84,31.120001,33.93,15.52
39.299999,35,32.07,33.98,15.679999
38.759998,34.59,31.83,33.830002,15.55
39.599998,34.150002,32.66,34.040001,15.679999
