"Strike","Bid1","Ask1","Apr.21.2017","Bid2","Ask2","May.19.2017","Bid3","Ask3","Jun.16.2017"
110,0.04,0.05,0.045,0.13,0.17,0.15,0.25,0.28,0.265
115,0.07,0.08,0.075,0.22,0.26,0.24,0.38,0.42,0.4
120,0.1,0.12,0.11,0.4,0.42,0.41,0.63,0.67,0.65
125,0.17,0.18,0.175,0.68,0.72,0.7,1.06,1.11,1.085
130,0.3,0.31,0.305,1.27,1.32,1.295,1.84,1.9,1.87
135,0.76,0.77,0.765,2.42,2.47,2.445,3.15,3.25,3.2
140,2.24,2.23,2.235,4.4,4.55,4.475,5.15,5.3,5.225
150,9.9,10.05,9.975,11.1,11.45,11.275,11.7,11.9,11.8
155,14.7,15.1,14.9,15.55,15.95,15.75,15.8,16.25,16.025
160,19.85,20.2,20.025,20.2,20.7,20.45,20.5,21,20.75
